City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,kenai,60.5544,-151.2583,11.05,54,0,3.6,US,1696026274
158,balaipungut,1.05,101.2833,23.59,81,86,1.04,ID,1696026274
159,ondjiva,-17.0667,15.7333,27.02,21,49,1.54,AO,1696026274
160,jinghong,21.991,100.7341,21.75,99,95,0.15,CN,1696026274
161,hawaiian paradise park,19.5933,-154.9731,28.91,74,20,2.57,US,1696025750
162,grand falls-windsor,48.9332,-55.6649,11.75,81,97,1.44,CA,1696026275
163,vila franca do campo,37.7167,-25.4333,23.23,99,94,6.39,PT,1696025873
164,baiyin,36.5583,104.2081,13.99,68,77,1.79,CN,1696026275
165,nema,57.5067,50.5011,7.29,94,57,2.09,RU,1696026275
166,priozersk,61.0393,30.1291,15.56,91,100,4.83,RU,1696026275
167,qaqortoq,60.7167,-46.0333,3.21,67,3,1.18,GL,1696025757
168,enewetak,11.3474,162.3373,28.88,77,86,5.94,MH,1696025790
169,cururupu,-1.8283,-44.8683,25.17,81,73,2.03,BR,1696026276
170,zhaodong,46.0833,125.9833,10.42,82,100,7.81,CN,1696026276
171,ar rahad,12.7167,30.65,29.19,48,7,1.93,SD,1696026276
172,mount pearl,47.5166,-52.7813,11.36,82,75,1.03,CA,1696025700
173,ribeira grande,38.5167,-28.7,19.87,94,100,1.79,PT,1696025741
174,evergreen,39.6333,-105.3172,26.17,26,8,1.34,US,1696026277
175,westerland,54.9079,8.3033,16.01,67,40,8.75,DE,1696026277
176,businga,3.3333,20.8833,21.36,99,100,1.22,CD,1696026277
177,alofi,-19.0595,-169.9187,23.94,94,72,4.63,NU,1696025804
178,bay roberts,47.5999,-53.2648,12.03,87,93,0.45,CA,1696026278
179,anadyr,64.75,177.4833,6.28,81,75,5.0,RU,1696025769
180,swakopmund,-22.6833,14.5333,12.21,88,14,1.79,NA,1696026278
181,antsiranana,-12.2787,49.2917,23.03,78,23,7.45,MG,1696025771
182,qusmuryn,52.4503,64.6311,11.93,66,100,3.76,KZ,1696026279
183,turpan,42.9333,89.1667,22.61,22,100,0.85,CN,1696026279
184,oberlin,41.2939,-82.2174,21.42,81,0,2.57,US,1696026279
185,ciudad lazaro cardenas,17.9583,-102.2,30.56,75,35,4.84,MX,1696026280
186,acajutla,13.5928,-89.8275,29.92,72,63,2.2,SV,1696025844
187,beau vallon,-20.4189,57.6953,23.13,83,75,6.17,MU,1696025803
188,puerto ayora,-0.7393,-90.3518,26.98,90,45,2.68,EC,1696025803
189,mana,5.6592,-53.7767,27.66,79,33,6.67,GF,1696025757
190,nuku'alofa,-21.1333,-175.2,24.19,60,20,4.63,TO,1696025589
191,kavaratti,10.5669,72.642,27.38,82,77,8.36,IN,1696025844
192,egilsstadir,65.2653,-14.3948,4.95,87,100,1.03,IS,1696025787
193,al jawf,29.5,38.75,25.85,19,0,4.45,SA,1696026281
194,new norfolk,-42.7826,147.0587,12.62,59,100,2.2,AU,1696025764
195,cuatro cienegas de carranza,26.9833,-102.0833,33.06,25,0,4.55,MX,1696026281
196,cabo san lucas,22.8909,-109.9124,35.34,52,20,5.14,MX,1696025492
197,howrah,22.5892,88.3103,26.0,94,75,2.06,IN,1696025796
198,tralee,52.2704,-9.7026,10.88,90,100,2.25,IE,1696025801
199,lompoc,34.6391,-120.4579,27.23,76,100,8.05,US,1696025583
200,cabedelo,-6.9811,-34.8339,25.37,72,85,6.47,BR,1696025803
